iter	Passed	Remaining
0	41	24658
1	52	15773
2	81	16259
3	92	13818
4	115	13777
5	126	12475
6	134	11391
7	142	10564
8	151	9972
9	160	9468
10	169	9089
11	178	8759
12	188	8524
13	198	8297
14	208	8135
15	221	8079
16	231	7945
17	243	7859
18	252	7719
19	261	7597
20	270	7470
21	280	7368
22	291	7303
23	306	7353
24	317	7309
25	332	7350
26	342	7267
27	352	7195
28	361	7108
29	377	7163
30	386	7085
31	393	6985
32	402	6919
33	410	6835
34	419	6764
35	426	6684
36	436	6642
37	445	6590
38	455	6546
39	508	7119
40	539	7357
41	569	7572
42	590	7644
43	602	7613
44	612	7551
45	620	7471
46	630	7416
47	640	7364
48	650	7319
49	664	7314
50	673	7247
51	681	7176
52	688	7109
53	697	7053
54	706	7001
55	716	6962
56	724	6901
57	732	6847
58	741	6798
59	750	6752
60	759	6713
61	769	6674
62	778	6637
63	786	6585
64	795	6550
65	805	6513
66	814	6478
67	824	6452
68	833	6417
69	898	6800
70	928	6921
71	955	7005
72	971	7011
73	981	6974
74	989	6928
75	999	6889
76	1007	6846
77	1016	6806
78	1026	6766
79	1039	6757
80	1048	6720
81	1057	6677
82	1066	6642
83	1075	6608
84	1085	6575
85	1127	6737
86	1146	6760
87	1159	6746
88	1175	6750
89	1184	6714
90	1194	6679
91	1203	6647
92	1215	6623
93	1241	6682
94	1249	6642
95	1258	6605
96	1265	6562
97	1273	6525
98	1282	6492
99	1291	6457
100	1301	6428
101	1309	6394
102	1318	6362
103	1331	6350
104	1356	6392
105	1365	6361
106	1373	6329
107	1386	6315
108	1394	6282
109	1404	6254
110	1413	6226
111	1423	6203
112	1433	6178
113	1444	6157
114	1453	6130
115	1461	6099
116	1477	6101
117	1485	6069
118	1493	6036
119	1501	6005
120	1509	5976
121	1517	5946
122	1525	5917
123	1534	5890
124	1542	5862
125	1552	5838
126	1560	5811
127	1571	5793
128	1582	5776
129	1590	5751
130	1599	5725
131	1607	5699
132	1616	5675
133	1623	5647
134	1633	5624
135	1640	5598
136	1649	5574
137	1657	5548
138	1665	5524
139	1674	5500
140	1682	5476
141	1691	5455
142	1760	5626
143	1797	5690
144	1820	5711
145	1838	5716
146	1928	5942
147	1953	5965
148	1969	5960
149	1979	5937
150	1991	5921
151	2001	5898
152	2012	5879
153	2020	5850
154	2028	5825
155	2038	5800
156	2046	5775
157	2055	5751
158	2064	5725
159	2073	5702
160	2081	5676
161	2090	5651
162	2099	5627
163	2108	5604
164	2116	5580
165	2125	5557
166	2138	5544
167	2146	5520
168	2155	5495
169	2163	5472
170	2173	5452
171	2182	5429
172	2191	5408
173	2203	5394
174	2210	5369
175	2219	5347
176	2227	5323
177	2240	5311
178	2248	5289
179	2263	5280
180	2272	5259
181	2292	5266
182	2300	5242
183	2307	5217
184	2315	5194
185	2322	5170
186	2330	5147
187	2338	5124
188	2347	5104
189	2357	5086
190	2366	5067
191	2375	5048
192	2386	5031
193	2395	5013
194	2403	4992
195	2416	4981
196	2425	4961
197	2476	5028
198	2505	5049
199	2523	5047
200	2535	5033
201	2545	5014
202	2553	4994
203	2564	4978
204	2573	4958
205	2583	4940
206	2592	4921
207	2600	4901
208	2643	4946
209	2671	4961
210	2691	4961
211	2721	4980
212	2768	5030
213	2784	5022
214	2800	5014
215	2815	5005
216	2848	5027
217	2865	5021
218	2881	5013
219	2894	4999
220	2903	4978
221	2912	4958
222	2922	4940
223	2931	4920
224	2941	4901
225	2948	4880
226	2959	4862
227	2972	4849
228	2981	4830
229	2997	4821
230	3005	4800
231	3013	4779
232	3021	4759
233	3028	4737
234	3037	4718
235	3045	4697
236	3054	4678
237	3062	4658
238	3071	4638
239	3078	4617
240	3087	4599
241	3096	4581
242	3104	4561
243	3113	4542
244	3122	4523
245	3130	4505
246	3140	4488
247	3149	4470
248	3158	4451
249	3167	4434
250	3176	4416
251	3184	4398
252	3207	4399
253	3215	4379
254	3222	4359
255	3229	4339
